COMMAND     PID USER   FD   TYPE   DEVICE SIZE/OFF NODE NAME
odysseygo 32561 root   68u  IPv4  9193889      0t0  TCP ip-172-31-17-110.ec2.internal:54468->ec2-44-211-0-202.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 32561 root   69u  IPv6  4308812      0t0  TCP ip-172-31-17-110.ec2.internal:9651->ec2-54-158-175-165.compute-1.amazonaws.com:33002 (ESTABLISHED)
odysseygo 32561 root   70u  IPv4 91394375      0t0  TCP ip-172-31-17-110.ec2.internal:35928->ec2-54-236-131-114.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 32561 root   72u  IPv4  7128100      0t0  TCP ip-172-31-17-110.ec2.internal:44576->ec2-34-206-59-82.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 32561 root   76u  IPv6   781439      0t0  TCP ip-172-31-17-110.ec2.internal:9651->ec2-44-214-160-107.compute-1.amazonaws.com:47742 (ESTABLISHED)
odysseygo 32561 root   77u  IPv6   781433      0t0  TCP ip-172-31-17-110.ec2.internal:9651->ec2-18-233-204-144.compute-1.amazonaws.com:43096 (ESTABLISHED)
odysseygo 32561 root   78u  IPv6   780817      0t0  TCP ip-172-31-17-110.ec2.internal:9651->ec2-34-202-51-225.compute-1.amazonaws.com:55416 (ESTABLISHED)
odysseygo 32561 root   79u  IPv6   777796      0t0  TCP ip-172-31-17-110.ec2.internal:9651->ec2-3-225-79-249.compute-1.amazonaws.com:42904 (ESTABLISHED)
odysseygo 32561 root   80u  IPv6   780963      0t0  TCP ip-172-31-17-110.ec2.internal:9651->ec2-52-54-223-196.compute-1.amazonaws.com:46000 (ESTABLISHED)
odysseygo 32561 root   81u  IPv6   777939      0t0  TCP ip-172-31-17-110.ec2.internal:9651->ec2-52-200-197-163.compute-1.amazonaws.com:50384 (ESTABLISHED)
odysseygo 32561 root   83u  IPv6   777921      0t0  TCP ip-172-31-17-110.ec2.internal:9651->ec2-18-207-74-220.compute-1.amazonaws.com:40608 (ESTABLISHED)
odysseygo 32561 root   84u  IPv6   779988      0t0  TCP ip-172-31-17-110.ec2.internal:9651->ec2-23-22-195-89.compute-1.amazonaws.com:46638 (ESTABLISHED)
odysseygo 32561 root   85u  IPv6   779989      0t0  TCP ip-172-31-17-110.ec2.internal:9651->ec2-18-215-213-100.compute-1.amazonaws.com:33942 (ESTABLISHED)
odysseygo 32561 root   86u  IPv6 91673861      0t0  TCP ip-172-31-17-110.ec2.internal:9651->ec2-52-3-14-29.compute-1.amazonaws.com:42952 (ESTABLISHED)
odysseygo 32561 root   87u  IPv6   779991      0t0  TCP ip-172-31-17-110.ec2.internal:9651->ec2-3-93-84-116.compute-1.amazonaws.com:43788 (ESTABLISHED)
odysseygo 32561 root   88u  IPv6 90901668      0t0  TCP ip-172-31-17-110.ec2.internal:9651->ec2-44-219-130-13.compute-1.amazonaws.com:36052 (ESTABLISHED)
odysseygo 32561 root   89u  IPv6   779996      0t0  TCP ip-172-31-17-110.ec2.internal:9651->ec2-3-218-45-144.compute-1.amazonaws.com:60010 (ESTABLISHED)
odysseygo 32561 root   90u  IPv6   779244      0t0  TCP ip-172-31-17-110.ec2.internal:9651->ec2-34-206-101-137.compute-1.amazonaws.com:41220 (ESTABLISHED)
odysseygo 32561 root   91u  IPv6   779246      0t0  TCP ip-172-31-17-110.ec2.internal:9651->ec2-52-3-189-202.compute-1.amazonaws.com:52154 (ESTABLISHED)
odysseygo 32561 root   94u  IPv4   780826      0t0  TCP ip-172-31-17-110.ec2.internal:49992->ec2-18-206-17-246.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 32561 root   95u  IPv6   780827      0t0  TCP ip-172-31-17-110.ec2.internal:9651->ec2-34-203-168-140.compute-1.amazonaws.com:48214 (ESTABLISHED)
odysseygo 32561 root   96u  IPv6   780958      0t0  TCP ip-172-31-17-110.ec2.internal:9651->ec2-34-205-163-144.compute-1.amazonaws.com:47656 (ESTABLISHED)
odysseygo 32561 root   97u  IPv6   779252      0t0  TCP ip-172-31-17-110.ec2.internal:9651->ec2-98-82-251-216.compute-1.amazonaws.com:40098 (ESTABLISHED)
odysseygo 32561 root   99u  IPv6   780999      0t0  TCP ip-172-31-17-110.ec2.internal:9651->ec2-23-22-40-156.compute-1.amazonaws.com:37264 (ESTABLISHED)
odysseygo 32561 root  101u  IPv6   780074      0t0  TCP ip-172-31-17-110.ec2.internal:9651->ec2-35-168-79-8.compute-1.amazonaws.com:53824 (ESTABLISHED)
odysseygo 32561 root  107u  IPv6 91609966      0t0  TCP ip-172-31-17-110.ec2.internal:9651->static.194.78.108.65.clients.your-server.de:56470 (ESTABLISHED)
odysseygo 32561 root  114u  IPv6  9868445      0t0  TCP ip-172-31-17-110.ec2.internal:9651->ec2-35-169-66-196.compute-1.amazonaws.com:35958 (ESTABLISHED)
odysseygo 32561 root  139u  IPv4  6281106      0t0  TCP ip-172-31-17-110.ec2.internal:39408->ec2-107-21-238-130.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 32561 root  141u  IPv6  9191233      0t0  TCP ip-172-31-17-110.ec2.internal:9651->ec2-34-202-198-117.compute-1.amazonaws.com:55122 (ESTABLISHED)
odysseygo 32561 root  142u  IPv6 91611544      0t0  TCP ip-172-31-17-110.ec2.internal:9651->static.159.52.109.65.clients.your-server.de:49442 (ESTABLISHED)
odysseygo 32561 root  144u  IPv6 35934968      0t0  TCP ip-172-31-17-110.ec2.internal:9651->104.236.110.97:49436 (ESTABLISHED)
odysseygo 32561 root  145u  IPv4  7124629      0t0  TCP ip-172-31-17-110.ec2.internal:40818->ec2-18-235-252-133.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 32561 root  151u  IPv6 91610653      0t0  TCP ip-172-31-17-110.ec2.internal:9651->static.107.144.132.142.clients.your-server.de:39480 (ESTABLISHED)
odysseygo 32561 root  160u  IPv6 91115215      0t0  TCP ip-172-31-17-110.ec2.internal:9651->ec2-35-72-54-251.ap-northeast-1.compute.amazonaws.com:45702 (ESTABLISHED)
odysseygo 32561 root  162u  IPv6 35937539      0t0  TCP ip-172-31-17-110.ec2.internal:9651->165.227.179.96:42862 (ESTABLISHED)
odysseygo 32561 root  170u  IPv6 88987771      0t0  TCP ip-172-31-17-110.ec2.internal:9651->212.192.49.56:34062 (ESTABLISHED)
