COMMAND       PID USER   FD   TYPE   DEVICE SIZE/OFF NODE NAME
odysseygo 2427610 root  149u  IPv6 86723959      0t0  TCP ip-172-31-29-29.ec2.internal:9651->ec2-34-228-222-195.compute-1.amazonaws.com:57508 (ESTABLISHED)
odysseygo 2427610 root  150u  IPv4 86720220      0t0  TCP ip-172-31-29-29.ec2.internal:48206->ec2-52-54-223-196.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 2427610 root  152u  IPv6 86722873      0t0  TCP ip-172-31-29-29.ec2.internal:9651->ec2-174-129-137-236.compute-1.amazonaws.com:60754 (ESTABLISHED)
odysseygo 2427610 root  153u  IPv4 86712872      0t0  TCP ip-172-31-29-29.ec2.internal:47744->ec2-34-206-101-137.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 2427610 root  154u  IPv6 86712873      0t0  TCP ip-172-31-29-29.ec2.internal:9651->ec2-18-215-213-100.compute-1.amazonaws.com:53208 (ESTABLISHED)
odysseygo 2427610 root  155u  IPv4 86720222      0t0  TCP ip-172-31-29-29.ec2.internal:41714->ec2-54-146-211-74.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 2427610 root  156u  IPv6 86722875      0t0  TCP ip-172-31-29-29.ec2.internal:9651->ec2-18-235-252-133.compute-1.amazonaws.com:56194 (ESTABLISHED)
odysseygo 2427610 root  157u  IPv6 86724001      0t0  TCP ip-172-31-29-29.ec2.internal:9651->ec2-3-228-129-216.compute-1.amazonaws.com:35078 (ESTABLISHED)
odysseygo 2427610 root  159u  IPv6 86724042      0t0  TCP ip-172-31-29-29.ec2.internal:9651->ec2-3-225-79-249.compute-1.amazonaws.com:42118 (ESTABLISHED)
odysseygo 2427610 root  160u  IPv4 86722880      0t0  TCP ip-172-31-29-29.ec2.internal:53086->ec2-98-83-188-107.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 2427610 root  161u  IPv6 86722881      0t0  TCP ip-172-31-29-29.ec2.internal:9651->ec2-34-203-168-140.compute-1.amazonaws.com:53994 (ESTABLISHED)
odysseygo 2427610 root  162u  IPv6 86724044      0t0  TCP ip-172-31-29-29.ec2.internal:9651->ec2-34-195-184-106.compute-1.amazonaws.com:56492 (ESTABLISHED)
odysseygo 2427610 root  163u  IPv6 86724086      0t0  TCP ip-172-31-29-29.ec2.internal:9651->ec2-3-91-229-25.compute-1.amazonaws.com:54994 (ESTABLISHED)
odysseygo 2427610 root  165u  IPv4 86724088      0t0  TCP ip-172-31-29-29.ec2.internal:50652->ec2-18-215-11-46.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 2427610 root  166u  IPv6 86720263      0t0  TCP ip-172-31-29-29.ec2.internal:9651->ec2-34-202-51-225.compute-1.amazonaws.com:55254 (ESTABLISHED)
odysseygo 2427610 root  167u  IPv6 86724090      0t0  TCP ip-172-31-29-29.ec2.internal:9651->ec2-98-82-240-103.compute-1.amazonaws.com:51246 (ESTABLISHED)
odysseygo 2427610 root  168u  IPv6 86722887      0t0  TCP ip-172-31-29-29.ec2.internal:9651->ec2-18-233-119-27.compute-1.amazonaws.com:53100 (ESTABLISHED)
odysseygo 2427610 root  169u  IPv6 86724094      0t0  TCP ip-172-31-29-29.ec2.internal:9651->ec2-3-227-69-165.compute-1.amazonaws.com:53606 (ESTABLISHED)
odysseygo 2427610 root  170u  IPv6 86724096      0t0  TCP ip-172-31-29-29.ec2.internal:9651->ec2-54-86-40-233.compute-1.amazonaws.com:55666 (ESTABLISHED)
odysseygo 2427610 root  171u  IPv4 86724099      0t0  TCP ip-172-31-29-29.ec2.internal:48890->ec2-50-19-116-199.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 2427610 root  172u  IPv6 86722892      0t0  TCP ip-172-31-29-29.ec2.internal:9651->ec2-23-22-195-89.compute-1.amazonaws.com:35376 (ESTABLISHED)
odysseygo 2427610 root  174u  IPv6 86724097      0t0  TCP ip-172-31-29-29.ec2.internal:9651->ec2-52-202-179-225.compute-1.amazonaws.com:39542 (ESTABLISHED)
odysseygo 2427610 root  175u  IPv6 86724101      0t0  TCP ip-172-31-29-29.ec2.internal:9651->ec2-52-71-181-255.compute-1.amazonaws.com:33636 (ESTABLISHED)
odysseygo 2427610 root  176u  IPv6 86720342      0t0  TCP ip-172-31-29-29.ec2.internal:9651->ec2-44-211-0-202.compute-1.amazonaws.com:41076 (ESTABLISHED)
odysseygo 2427610 root  177u  IPv6 86724103      0t0  TCP ip-172-31-29-29.ec2.internal:9651->ec2-34-197-148-157.compute-1.amazonaws.com:39988 (ESTABLISHED)
odysseygo 2427610 root  180u  IPv6 86724675      0t0  TCP ip-172-31-29-29.ec2.internal:9651->ec2-35-72-54-251.ap-northeast-1.compute.amazonaws.com:57488 (ESTABLISHED)
odysseygo 2427610 root  189u  IPv4 86724239      0t0  TCP ip-172-31-29-29.ec2.internal:33442->ec2-3-230-225-34.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 2427610 root  190u  IPv4 86726363      0t0  TCP ip-172-31-29-29.ec2.internal:39538->ec2-23-22-40-156.compute-1.amazonaws.com:9651 (ESTABLISHED)
