COMMAND      PID USER   FD   TYPE   DEVICE SIZE/OFF NODE NAME
odysseygo 291902 root   74u  IPv4 91879930      0t0  TCP ip-172-31-24-48.ec2.internal:43582->ec2-54-167-7-201.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   75u  IPv4 91876096      0t0  TCP ip-172-31-24-48.ec2.internal:57420->ec2-18-215-176-28.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   76u  IPv4 91880563      0t0  TCP ip-172-31-24-48.ec2.internal:35930->ec2-54-87-63-62.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   77u  IPv4 91876097      0t0  TCP ip-172-31-24-48.ec2.internal:37554->ec2-54-86-101-46.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   78u  IPv4 91880564      0t0  TCP ip-172-31-24-48.ec2.internal:45458->ec2-98-81-215-25.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   79u  IPv4 91879933      0t0  TCP ip-172-31-24-48.ec2.internal:40308->ec2-54-224-175-1.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   80u  IPv4 91876098      0t0  TCP ip-172-31-24-48.ec2.internal:45788->ec2-35-174-7-108.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   81u  IPv4 91880565      0t0  TCP ip-172-31-24-48.ec2.internal:49632->ec2-3-91-33-2.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   82u  IPv4 91879934      0t0  TCP ip-172-31-24-48.ec2.internal:60140->ec2-18-204-226-135.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   83u  IPv4 91876099      0t0  TCP ip-172-31-24-48.ec2.internal:35384->ec2-23-20-191-128.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   84u  IPv4 91880566      0t0  TCP ip-172-31-24-48.ec2.internal:55190->ec2-54-209-249-221.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   85u  IPv4 91879935      0t0  TCP ip-172-31-24-48.ec2.internal:36978->ec2-52-90-236-235.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   86u  IPv4 91876100      0t0  TCP ip-172-31-24-48.ec2.internal:57220->ec2-54-167-30-131.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   87u  IPv4 91880567      0t0  TCP ip-172-31-24-48.ec2.internal:47378->ec2-3-88-14-60.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   88u  IPv4 91879936      0t0  TCP ip-172-31-24-48.ec2.internal:50810->ec2-3-90-56-127.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   89u  IPv4 91876101      0t0  TCP ip-172-31-24-48.ec2.internal:52926->ec2-100-24-8-224.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   90u  IPv4 91880568      0t0  TCP ip-172-31-24-48.ec2.internal:50256->ec2-35-172-212-227.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   91u  IPv4 91879937      0t0  TCP ip-172-31-24-48.ec2.internal:43866->ec2-18-234-36-146.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   92u  IPv4 91880569      0t0  TCP ip-172-31-24-48.ec2.internal:52118->ec2-18-234-233-92.compute-1.amazonaws.com:9651 (SYN_SENT)
odysseygo 291902 root   93u  IPv6 91876112      0t0  TCP ip-172-31-24-48.ec2.internal:9651->ec2-34-202-51-225.compute-1.amazonaws.com:58710 (ESTABLISHED)
odysseygo 291902 root   94u  IPv6 91879947      0t0  TCP ip-172-31-24-48.ec2.internal:9651->ec2-98-80-46-175.compute-1.amazonaws.com:55970 (ESTABLISHED)
odysseygo 291902 root   95u  IPv6 91876114      0t0  TCP ip-172-31-24-48.ec2.internal:9651->ec2-34-197-148-157.compute-1.amazonaws.com:49100 (ESTABLISHED)
odysseygo 291902 root   96u  IPv6 91880570      0t0  TCP ip-172-31-24-48.ec2.internal:9651->ec2-34-206-59-82.compute-1.amazonaws.com:51592 (ESTABLISHED)
odysseygo 291902 root   97u  IPv6 91876116      0t0  TCP ip-172-31-24-48.ec2.internal:9651->ec2-107-23-226-228.compute-1.amazonaws.com:55738 (ESTABLISHED)
odysseygo 291902 root   98u  IPv6 91879949      0t0  TCP ip-172-31-24-48.ec2.internal:9651->ec2-54-225-236-76.compute-1.amazonaws.com:40132 (ESTABLISHED)
odysseygo 291902 root   99u  IPv6 91876118      0t0  TCP ip-172-31-24-48.ec2.internal:9651->ec2-54-197-102-41.compute-1.amazonaws.com:56702 (ESTABLISHED)
odysseygo 291902 root  100u  IPv6 91876120      0t0  TCP ip-172-31-24-48.ec2.internal:9651->ec2-3-218-45-144.compute-1.amazonaws.com:58424 (ESTABLISHED)
odysseygo 291902 root  101u  IPv4 91879951      0t0  TCP ip-172-31-24-48.ec2.internal:53980->ec2-34-203-168-140.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 291902 root  102u  IPv4 91879952      0t0  TCP ip-172-31-24-48.ec2.internal:51140->ec2-52-3-189-202.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 291902 root  103u  IPv4 91879953      0t0  TCP ip-172-31-24-48.ec2.internal:53588->ec2-34-206-101-137.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 291902 root  104u  IPv4 91879954      0t0  TCP ip-172-31-24-48.ec2.internal:59802->ec2-3-217-115-114.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 291902 root  105u  IPv4 91879955      0t0  TCP ip-172-31-24-48.ec2.internal:49172->ec2-54-226-62-214.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 291902 root  106u  IPv4 91879956      0t0  TCP ip-172-31-24-48.ec2.internal:52272->ec2-3-230-225-34.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 291902 root  107u  IPv4 91879957      0t0  TCP ip-172-31-24-48.ec2.internal:54896->ec2-18-215-11-46.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 291902 root  108u  IPv4 91880580      0t0  TCP ip-172-31-24-48.ec2.internal:51034->104.236.110.97:9651 (ESTABLISHED)
odysseygo 291902 root  109u  IPv6 91879959      0t0  TCP ip-172-31-24-48.ec2.internal:9651->ec2-44-210-177-215.compute-1.amazonaws.com:55444 (ESTABLISHED)
odysseygo 291902 root  110u  IPv6 91879960      0t0  TCP ip-172-31-24-48.ec2.internal:9651->ec2-54-158-175-165.compute-1.amazonaws.com:53064 (ESTABLISHED)
odysseygo 291902 root  111u  IPv6 91879962      0t0  TCP ip-172-31-24-48.ec2.internal:9651->ec2-3-232-45-182.compute-1.amazonaws.com:55180 (ESTABLISHED)
odysseygo 291902 root  112u  IPv4 91879964      0t0  TCP ip-172-31-24-48.ec2.internal:35730->ec2-18-215-213-100.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 291902 root  113u  IPv4 91879965      0t0  TCP ip-172-31-24-48.ec2.internal:51630->ec2-54-146-211-74.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 291902 root  114u  IPv6 91879966      0t0  TCP ip-172-31-24-48.ec2.internal:9651->ec2-98-82-251-216.compute-1.amazonaws.com:57246 (ESTABLISHED)
odysseygo 291902 root  115u  IPv6 91879967      0t0  TCP ip-172-31-24-48.ec2.internal:9651->ec2-34-196-243-223.compute-1.amazonaws.com:52720 (ESTABLISHED)
odysseygo 291902 root  116u  IPv6 91879968      0t0  TCP ip-172-31-24-48.ec2.internal:9651->ec2-52-70-38-106.compute-1.amazonaws.com:59918 (ESTABLISHED)
odysseygo 291902 root  117u  IPv4 91880572      0t0  TCP ip-172-31-24-48.ec2.internal:34372->ec2-18-207-171-20.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 291902 root  118u  IPv6 91880573      0t0  TCP ip-172-31-24-48.ec2.internal:9651->ec2-44-219-130-13.compute-1.amazonaws.com:45950 (ESTABLISHED)
odysseygo 291902 root  119u  IPv6 91880574      0t0  TCP ip-172-31-24-48.ec2.internal:9651->ec2-23-21-27-140.compute-1.amazonaws.com:34406 (ESTABLISHED)
odysseygo 291902 root  120u  IPv6 91880575      0t0  TCP ip-172-31-24-48.ec2.internal:9651->ec2-54-227-196-194.compute-1.amazonaws.com:41606 (ESTABLISHED)
odysseygo 291902 root  121u  IPv6 91880576      0t0  TCP ip-172-31-24-48.ec2.internal:9651->ec2-52-45-71-227.compute-1.amazonaws.com:46694 (ESTABLISHED)
odysseygo 291902 root  122u  IPv4 91880578      0t0  TCP ip-172-31-24-48.ec2.internal:51004->ec2-52-71-181-255.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 291902 root  123u  IPv6 91876129      0t0  TCP ip-172-31-24-48.ec2.internal:9651->ec2-98-83-188-107.compute-1.amazonaws.com:52904 (ESTABLISHED)
odysseygo 291902 root  124u  IPv6 91876122      0t0  TCP ip-172-31-24-48.ec2.internal:9651->ec2-18-235-227-173.compute-1.amazonaws.com:55446 (ESTABLISHED)
odysseygo 291902 root  125u  IPv6 91876123      0t0  TCP ip-172-31-24-48.ec2.internal:9651->ec2-18-207-74-220.compute-1.amazonaws.com:53056 (ESTABLISHED)
odysseygo 291902 root  126u  IPv6 91876125      0t0  TCP ip-172-31-24-48.ec2.internal:9651->ec2-44-223-151-51.compute-1.amazonaws.com:57974 (ESTABLISHED)
odysseygo 291902 root  127u  IPv6 91879970      0t0  TCP ip-172-31-24-48.ec2.internal:9651->static.194.78.108.65.clients.your-server.de:58094 (ESTABLISHED)
odysseygo 291902 root  128u  IPv4 91876127      0t0  TCP ip-172-31-24-48.ec2.internal:47272->ec2-23-22-40-156.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 291902 root  129u  IPv4 91876128      0t0  TCP ip-172-31-24-48.ec2.internal:59354->ec2-35-169-184-86.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 291902 root  130u  IPv6 91876131      0t0  TCP ip-172-31-24-48.ec2.internal:9651->static.32.122.108.65.clients.your-server.de:40910 (ESTABLISHED)
odysseygo 291902 root  131u  IPv6 91870150      0t0  TCP ip-172-31-24-48.ec2.internal:9651->ec2-18-235-252-133.compute-1.amazonaws.com:54112 (ESTABLISHED)
odysseygo 291902 root  132u  IPv6 91876134      0t0  TCP ip-172-31-24-48.ec2.internal:9651->ec2-3-225-79-249.compute-1.amazonaws.com:55192 (ESTABLISHED)
odysseygo 291902 root  133u  IPv6 91879972      0t0  TCP ip-172-31-24-48.ec2.internal:9651->ec2-107-21-238-130.compute-1.amazonaws.com:54072 (ESTABLISHED)
odysseygo 291902 root  134u  IPv4 91879974      0t0  TCP ip-172-31-24-48.ec2.internal:49896->ec2-34-197-125-83.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 291902 root  135u  IPv4 91876136      0t0  TCP ip-172-31-24-48.ec2.internal:59180->customer.frntdeu1.pop.starlinkisp.net:9651 (SYN_SENT)
odysseygo 291902 root  136u  IPv6 91876137      0t0  TCP ip-172-31-24-48.ec2.internal:9651->ec2-3-91-229-25.compute-1.amazonaws.com:48764 (ESTABLISHED)
odysseygo 291902 root  137u  IPv4 91879975      0t0  TCP ip-172-31-24-48.ec2.internal:38730->ec2-54-174-93-130.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 291902 root  138u  IPv6 91879976      0t0  TCP ip-172-31-24-48.ec2.internal:9651->ec2-54-86-40-233.compute-1.amazonaws.com:55752 (ESTABLISHED)
odysseygo 291902 root  139u  IPv4 91876139      0t0  TCP ip-172-31-24-48.ec2.internal:50212->ec2-35-174-148-147.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 291902 root  140u  IPv4 91880583      0t0  TCP ip-172-31-24-48.ec2.internal:52362->ec2-23-21-204-131.compute-1.amazonaws.com:9651 (ESTABLISHED)
odysseygo 291902 root  141u  IPv6 91876140      0t0  TCP ip-172-31-24-48.ec2.internal:9651->ec2-35-168-79-8.compute-1.amazonaws.com:33670 (ESTABLISHED)
odysseygo 291902 root  142u  IPv4 91876142      0t0  TCP ip-172-31-24-48.ec2.internal:56916->ec2-34-197-104-250.compute-1.amazonaws.com:9651 (ESTABLISHED)
